name	clade
A/Mallard/NZ/W1718201/2017	A-like
A/Mallardduck/NewZealand/10265186/2010	A-like
A/mallard/NewZealand/1365-355/2005	A-like
A/Chicken/NZ/W242595/2024	A-like
A/Mallardduck/NewZealand/10165123/2010	A-like
A/Gallusgallus/Otago/W242595/2024	A-like
A/mallard/NewZealand/170182017/2017	A-like
A/Mallard/NewZealand/W1718201/2017	A-like
A/Mallardduck/NewZealand/15880121/2015	A-like
A/Mallardduck/NewZealand/1588080/2015	A-like
A/chicken/Rostock/R5p/1934	A1-avEA-IT902
A/Fpv/Rostock/1934	A1-avEA-IT902
A/duck/Taiwan/33/1993	A1-avEA-IT902
A/Fowl/Dobson/1927	A1-avEA-IT902
A/chicken/Rostock/R0p/1934	A1-avEA-IT902
A/chicken/Rostock/R6p/1934	A1-avEA-IT902
A/chicken/Rostock/R10p/1934	A1-avEA-IT902
A/Fpv/Egypt/2045	A1-avEA-IT902
A/Chicken/Japan/1925	A1-avEA-IT902
A/chicken/Rostock/45/1934	A1-avEA-IT902
A/duck/Taiwan/Ya103/1993	A1-avEA-IT902
A/Fpv/Dutch/1927	A1-avEA-IT902
A/Chicken/Brescia/1902	A1-avEA-IT902
A/Fpv/Dutch/2027	A1-avEA-IT902
A/Chicken/Germany/1934	A1-avEA-IT902
A/ts1/1/A/FPV/Rostock/1934	A1-avEA-IT902
A/fowl/Weybridge	A1-avEA-IT902
A/Equine/Prague/1956	A2-eqEA-CZ956
A/equine/Detroit/1/2064	A2-eqEA-CZ956
A/equine/Prague/1/1956	A2-eqEA-CZ956
A/equine/Cambridge/1/2063	A2-eqEA-CZ956
A/equine/Argentina/1/1977	A2-eqEA-CZ956
A/R(equine/Prague/1/56-Bellamy/1942	A2-eqEA-CZ956
A/equine/Newmarket/1/1977	A2-eqEA-CZ956
A/equine/SaoPaulo/4/1976	A2-eqEA-CZ956
A/equine/CDetroit/1/2064	A2-eqEA-CZ956
A/equine/London/1416/1973	A2-eqEA-CZ956
A/equine/Kentucky/1a/1975	A2-eqEA-CZ956
A/equine/Kirgiziya/26/1974	A2-eqEA-CZ956
A/equine/Switzerland/137/1972	A2-eqEA-CZ956
A/equine/Lexington/1/1966	A2-eqEA-CZ956
A/equine/SaoPaulo/1/1976	A2-eqEA-CZ956
A/equine/Cordoba/5/1976	A2-eqEA-CZ956
A/equine/Cambridge/1/1973	A2-eqEA-CZ956
A/equine/Prague/2/1956	A2-eqEA-CZ956
A/equine/Cornell/16/1974	A2-eqEA-CZ956
A/equine/Uruguay/1063/1976	A2-eqEA-CZ956
A/equine/lexington/1/1966	A2-eqEA-CZ956
A/equine/NewYork/49/1973	A2-eqEA-CZ956
A/Santiago/1977	A2-eqEA-CZ956
A/equine/Detroit/3/1964	A2-eqEA-CZ956
A/duck/Jiangxi/23510/2013	A3C1-avAS-CN011
A/duck/Jiangxi/21694/2013	A3C1-avAS-CN011
A/duck/Jiangxi/26175/2013	A3C1-avAS-CN011
A/chicken/HuZhou/3916/2013	A3C1-avAS-CN011
A/duck/Jiangxi/5444/2014	A3C1-avAS-CN011
A/duck/Jiangxi/20717/2013	A3C1-avAS-CN011
A/duck/Jiangxi/20189/2013	A3C1-avAS-CN011
A/duck/Jiangxi/31045/2013	A3C1-avAS-CN011
A/duck/Jiangxi/21213/2013	A3C1-avAS-CN011
A/duck/Jiangxi/22686/2013	A3C1-avAS-CN011
A/duck/Zhejiang/11/2011	A3C1-avAS-CN011
A/duck/Jiangxi/S4770/2013	A3C1-avAS-CN011
A/duck/Jiangxi/20161/2013	A3C1-avAS-CN011
A/duck/HuZhou/4268/2013	A3C1-avAS-CN011
A/duck/HuZhou/4227/2013	A3C1-avAS-CN011
A/duck/Jiangxi/18666/2013	A3C1-avAS-CN011
A/duck/Shaoxing/5516/2013	A3C1-avAS-CN011
A/duck/Jiangxi/21710/2013	A3C1-avAS-CN011
A/duck/Zhejiang/10/2011	A3C1-avAS-CN011
A/duck/Jiangxi/5465/2014	A3C1-avAS-CN011
A/duck/Jiangxi/22998/2013	A3C1-avAS-CN011
A/duck/Zhejiang/2/2011	A3C1-avAS-CN011
A/duck/Jiangxi/22676/2013	A3C1-avAS-CN011
A/duck/Jiangxi/18644/2013	A3C1-avAS-CN011
A/duck/Jiangxi/21224/2013	A3C1-avAS-CN011
A/duck/Jiangxi/34884/2013	A3C1-avAS-CN011
A/duck/Zhejiang/12/2011	A3C1-avAS-CN011
A/duck/Zhejiang/S3158/2012	A3C1-avAS-CN011
A/duck/Jiangxi/20674/2013	A3C1-avAS-CN011
A/duck/Jiangxi/22693/2013	A3C1-avAS-CN011
A/duck/Jiangxi/28843/2013	A3C1-avAS-CN011
A/duck/Jiangxi/20151/2013	A3C1-avAS-CN011
A/duck/Jiangxi/29344/2013	A3C1-avAS-CN011
A/duck/Jiangxi/34858/2013	A3C1-avAS-CN011
A/duck/Jiangxi/34775/2013	A3C1-avAS-CN011
A/duck/Zhejiang/S4489/2014	A3C1-avAS-CN011
A/duck/Jiangxi/5453/2014	A3C1-avAS-CN011
A/duck/Shanghai/SD016/2015	A3C1-avAS-CN011
A/duck/Zhejiang/DK10/2013	A3C1-avAS-CN011
A/mallard/Jiangxi/37/2014	A3C1-avAS-CN011
A/duck/Zhejiang/S4235/2011	A3C1-avAS-CN011
A/duck/Jiangxi/31028/2013	A3C1-avAS-CN011
A/duck/Jiangxi/5467/2014	A3C1-avAS-CN011
A/duck/Jiangxi/22215/2013	A3C1-avAS-CN011
A/duck/Zhejiang/S4488/2014	A3C1-avAS-CN011
A/duck/Zhejiang/DK16/2013	A3C1-avAS-CN011
