# Check for bird codes in https://www.carolinabirdclub.org/bandcodes.html
# Note that the first column in this TSV is case insensitive
Accipitridae	Avian
alpaca	Nonhuman Mammal
american crow	Avian
AMERICAN ROBIN	Avian
Turdus migratorius	Avian
american wigeon	Avian
Anas platyrhynchos	Avian
Anatidae	Avian
Anser caerulescens	Avian
Arenaria interpres	Avian
Aythya americana	Avian
bald eagle	Avian
black billed magpie	Avian
blackbird	Avian
BOBCAT	Nonhuman Mammal
Bos taurus	Cattle
Branta canadensis	Avian
Bubo virginianus	Avian
Buteo jamaicensis	Avian
cago	Avian
Calidris alba	Avian
canada goose	Avian
Capra hircus	Nonhuman Mammal
cat	Nonhuman Mammal
Cathartes aura	Avian
cattle	Cattle
CATTLE MILK PRODUCT	Cattle
Chenonetta jubata	Avian
chicken	Avian
Columba livia	Avian
Columbidae	Avian
common raven	Avian
comon-grackle	Avian
Corvus	Avian
Corvus brachyrhynchos	Avian
Corvus corax	Avian
Cygnus olor	Avian
Dairy cattle	Cattle
domestic cat	Nonhuman Mammal
domestic-cat	Nonhuman Mammal
Dromaius novaehollandiae	Avian
duck	Avian
EMU	Avian
Emu	Avian
environment	Environment
EURASIAN COLLARED DOVE	Avian
Falco peregrinus	Avian
Feliformia	Nonhuman Mammal
feline	Nonhuman Mammal
Felis catus	Nonhuman Mammal
FOX	Nonhuman Mammal
Gallus gallus	Avian
ganada goose	Avian
GEOFFROY'S CAT	Nonhuman Mammal
goat	Nonhuman Mammal
goose	Avian
grackle	Avian
great horned owl	Avian
Haliaeetus leucocephalus	Avian
harris hawk	Avian
harris-hawk	Avian
hawk	Avian
Homo sapiens	Human
HOSP	Avian
HOUSE SPARROW	Avian
House-Mouse	Nonhuman Mammal
Icteridae	Avian
Larus occidentalis	Avian
LION	Nonhuman Mammal
Lophodytes cucullatus	Avian
LYNX	Nonhuman Mammal
mallard	Avian
Meleagris gallopavo	Avian
Mephitidae	Nonhuman Mammal
mountain lion	Nonhuman Mammal
mountain_lion	Nonhuman Mammal
Mus musculus	Nonhuman Mammal
mute swan	Avian
Numididae	Avian
Numididae sp.	Avian
Panthera leo	Nonhuman Mammal
Panthera tigris	Nonhuman Mammal
Passer domesticus	Avian
Pavo	Avian
pefa	Avian
Pelecanus erythrorhynchos	Avian
pigeon	Avian
Phasianinae	Avian
Podiceps auritus	Avian
Procyon lotor	Nonhuman Mammal
Puma concolor	Nonhuman Mammal
Quiscalus quiscula	Avian
raccoon	Nonhuman Mammal
red fox	Nonhuman Mammal
red tailed hawk	Avian
Rock Pigeon	Avian
SAVANNAH CAT	Nonhuman Mammal
SERVAL	Nonhuman Mammal
skunk	Nonhuman Mammal
snow goose	Avian
Streptopelia decaocto	Avian
Sus scrofa	Nonhuman Mammal
tiger	Nonhuman Mammal
Turdus merula	Avian
turkey	Avian
turkey vulture	Avian
Vicugna pacos	Nonhuman Mammal
Vulpes vulpes	Nonhuman Mammal
western gull	Avian
western kingbird	Avian
western sandpiper	Avian
White-winged Dove	Avian
Wild-Bird	Avian
Zenaida asiatica	Avian
